기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상
2019	중랑구	망우3동	874	709	165	320	238	82	50	29	21	504	442	62
2019	중랑구	신내1동	1,765	1,273	492	328	186	142	77	39	38	1,360	1,048	312
2019	중랑구	신내2동	855	638	217	322	217	105	53	39	14	480	382	98
2019	중랑구	면목본동	1,245	997	248	437	312	125	69	31	38	739	654	85
2019	중랑구	면목3.8동	1,177	927	250	375	274	101	69	45	24	733	608	125
2019	중랑구	망우본동	1,332	1,010	322	466	331	135	76	50	26	790	629	161
2019	성북구	소계	15,668	11,612	4,056	3,699	2,543	1,156	1,094	794	300	10,875	8,275	2,600
2019	성북구	돈암1동	569	430	139	154	105	49	54	39	15	361	286	75
2019	성북구	돈암2동	497	343	154	107	63	44	30	16	14	360	264	96
2019	성북구	안암동	580	426	154	117	90	27	45	34	11	418	302	116
2019	성북구	보문동	597	440	157	126	77	49	48	35	13	423	328	95
2019	성북구	정릉1동	553	424	129	111	74	37	32	18	14	410	332	78
2019	성북구	정릉2동	877	674	203	170	115	55	54	47	7	653	512	141
2019	성북구	정릉3동	861	619	242	221	141	80	61	46	15	579	432	147
2019	성북구	정릉4동	1,006	768	238	207	142	65	55	38	17	744	588	156
2019	성북구	길음1동	705	548	157	141	98	43	55	36	19	509	414	95
2019	성북구	길음2동	574	462	112	168	117	51	33	19	14	373	326	47
2019	성북구	월곡1동	927	705	222	246	158	88	66	51	15	615	496	119
2019	성북구	월곡2동	747	546	201	193	140	53	48	36	12	506	370	136
2019	성북구	장위1동	866	673	193	253	186	67	77	61	16	536	426	110
2019	성북구	장위2동	693	520	173	205	145	60	58	39	19	430	336	94
2019	성북구	장위3동	526	419	107	132	93	39	35	24	11	359	302	57
2019	성북구	성북동	689	483	206	100	68	32	35	16	19	554	399	155
2019	성북구	삼선동	916	687	229	218	173	45	73	58	15	625	456	169
2019	성북구	동선동	556	411	145	114	81	33	53	39	14	389	291	98
2019	성북구	종암동	1,455	921	534	332	218	114	84	66	18	1,039	637	402
2019	성북구	석관동	1,474	1,113	361	384	259	125	98	76	22	992	778	214
2019	강북구	소계	15,501	12,085	3,416	4,455	3,212	1,243	1,221	692	529	9,825	8,181	1,644
2019	강북구	번1동	904	708	196	239	167	72	57	41	16	608	500	108
2019	강북구	번2동	1,028	818	210	331	237	94	154	97	57	543	484	59
2019	강북구	번3동	1,197	1,005	192	516	405	111	158	105	53	523	495	28
2019	강북구	수유1동	1,077	819	258	336	250	86	87	45	42	654	524	130
2019	강북구	수유2동	1,006	741	265	278	180	98	69	31	38	659	530	129
2019	강북구	수유3동	1,177	950	227	291	219	72	64	36	28	822	695	127
2019	강북구	삼양동	1,299	1,015	284	425	303	122	83	52	31	791	660	131
2019	강북구	미아동	1,217	960	257	274	214	60	112	78	34	831	668	163
2019	강북구	송중동	1,316	1,043	273	322	218	104	99	64	35	895	761	134
2019	강북구	송천동	1,676	1,303	373	471	340	131	91	35	56	1,114	928	186
2019	강북구	삼각산동	863	649	214	346	234	112	54	22	32	463	393	70
2019	강북구	우이동	1,084	809	275	215	147	68	74	34	40	795	628	167
2019	강북구	인수동	1,657	1,265	392	411	298	113	119	52	67	1,127	915	212
2019	도봉구	소계	13,407	9,728	3,679	2,797	1,854	943	910	497	413	9,700	7,377	2,323
2019	도봉구	쌍문1동	929	691	238	226	140	86	73	46	27	630	505	125
2019	도봉구	쌍문2동	924	641	283	179	123	56	88	45	43	657	473	184
2019	도봉구	쌍문3동	736	568	168	150	101	49	55	38	17	531	429	102
2019	도봉구	쌍문4동	481	310	171	52	25	27	16	9	7	413	276	137
2019	도봉구	방학1동	1,283	961	322	325	237	88	90	50	40	868	674	194
2019	도봉구	방학2동	1,191	905	286	402	265	137	103	49	54	686	591	95
2019	도봉구	방학3동	764	511	253	74	35	39	39	21	18	651	455	196
2019	도봉구	창1동	985	707	278	154	96	58	33	20	13	798	591	207
2019	도봉구	창2동	1,008	747	261	188	116	72	70	38	32	750	593	157
2019	도봉구	창3동	776	570	206	235	166	69	54	24	30	487	380	107
2019	도봉구	창4동	789	511	278	85	49	36	32	8	24	672	454	218
2019	도봉구	창5동	766	539	227	108	70	38	51	26	25	607	443	164
2019	도봉구	도봉1동	1,468	1,111	357	323	226	97	109	62	47	1,036	823	213
2019	도봉구	도봉2동	1,307	956	351	296	205	91	97	61	36	914	690	224
2019	노원구	소계	21,249	14,581	6,668	6,471	4,538	1,933	1,964	1,068	896	12,814	8,975	3,839
2019	노원구	월계1동	937	682	255	197	147	50	65	28	37	675	507	168
2019	노원구	월계2동	1,646	1,166	480	798	550	248	171	75	96	677	541	136
2019	노원구	월계3동	1,410	990	420	491	343	148	125	63	62	794	584	210
2019	노원구	공릉2동	981	669	312	182	142	40	64	24	40	735	503	232
2019	노원구	하계1동	1,346	928	418	695	513	182	139	61	78	512	354	158
2019	노원구	하계2동	668	444	224	208	154	54	84	38	46	376	252	124
2019	노원구	중계본동	644	434	210	96	67	29	88	40	48	460	327	133
2019	노원구	중계1동	504	322	182	129	85	44	61	29	32	314	208	106
2019	노원구	중계4동	1,108	793	315	482	339	143	133	86	47	493	368	125
2019	노원구	상계1동	1,365	933	432	320	207	113	115	65	50	930	661	269
2019	노원구	상계2동	753	537	216	195	139	56	62	31	31	496	367	129
2019	노원구	상계5동	1,336	917	419	321	221	100	118	69	49	897	627	270
2019	노원구	상계8동	582	384	198	34	21	13	18	6	12	530	357	173
2019	노원구	상계9동	723	455	268	62	39	23	41	17	24	620	399	221
2019	노원구	상계10동	444	277	167	46	27	19	15	5	10	383	245	138
2019	노원구	상계3.4동	1,827	1,261	566	640	447	193	209	138	71	978	676	302
2019	노원구	상계6.7동	1,164	706	458	88	50	38	48	23	25	1,028	633	395
2019	노원구	중계2.3동	2,227	1,511	716	976	687	289	293	199	94	958	625	333
2019	노원구	공릉1동	1,584	1,172	412	511	360	151	115	71	44	958	741	217
2019	은평구	소계	19,974	14,907	5,067	4,756	3,286	1,470	849	471	378	14,369	11,150	3,219
2019	은평구	녹번동	1,843	1,396	447	394	286	108	68	37	31	1,381	1,073	308
2019	은평구	불광1동	1,985	1,467	518	440	305	135	57	29	28	1,488	1,133	355
2019	은평구	갈현1동	1,167	905	262	335	241	94	51	31	20	781	633	148
2019	은평구	갈현2동	1,051	803	248	248	185	63	61	32	29	742	586	156
2019	은평구	구산동	1,235	900	335	280	194	86	56	23	33	899	683	216
2019	은평구	대조동	1,408	1,052	356	344	225	119	60	34	26	1,004	793	211
2019	은평구	응암1동	993	731	262	199	130	69	36	21	15	758	580	178
2019	은평구	응암2동	781	564	217	228	153	75	28	15	13	525	396	129
2019	은평구	신사1동	976	759	217	171	119	52	41	16	25	764	624	140
2019	은평구	신사2동	911	668	243	198	126	72	39	22	17	674	520	154
2019	은평구	증산동	669	519	150	126	79	47	23	17	6	520	423	97
2019	은평구	수색동	469	339	130	156	110	46	16	6	10	297	223	74
2019	은평구	진관동	1,223	859	364	254	177	77	59	37	22	910	645	265
2019	은평구	불광2동	1,669	1,269	400	542	374	168	68	38	30	1,059	857	202
2019	은평구	응암3동	1,650	1,200	450	404	270	134	78	46	32	1,168	884	284
2019	은평구	역촌동	1,944	1,476	468	437	312	125	108	67	41	1,399	1,097	302
2019	서대문구	소계	12,230	8,780	3,450	2,519	1,706	813	634	355	279	9,077	6,719	2,358
2019	서대문구	천연동	999	682	317	295	179	116	42	19	23	662	484	178
2019	서대문구	홍제1동	923	654	269	159	108	51	45	31	14	719	515	204
2019	서대문구	홍제3동	847	581	266	176	110	66	81	39	42	590	432	158
2019	서대문구	홍제2동	604	437	167	154	108	46	37	28	9	413	301	112
2019	서대문구	홍은1동	976	690	286	231	160	71	63	27	36	682	503	179
2019	서대문구	홍은2동	1,023	737	286	168	119	49	53	32	21	802	586	216
2019	서대문구	남가좌1동	364	289	75	72	46	26	13	10	3	279	233	46
2019	서대문구	남가좌2동	1,086	800	286	280	191	89	70	41	29	736	568	168
2019	서대문구	북가좌1동	493	358	135	103	65	38	26	15	11	364	278	86
2019	서대문구	북가좌2동	1,445	1,088	357	281	191	90	63	29	34	1,101	868	233
2019	서대문구	충현동	841	611	230	167	119	48	47	28	19	627	464	163
2019	서대문구	북아현동	586	442	144	143	104	39	22	11	11	421	327	94
2019	서대문구	신촌동	562	386	176	79	51	28	26	16	10	457	319	138
2019	서대문구	연희동	1,481	1,025	456	211	155	56	46	29	17	1,224	841	383
2019	마포구	소계	12,067	8,675	3,392	2,277	1,589	688	688	422	266	9,102	6,664	2,438
2019	마포구	용강동	650	401	249	129	95	34	30	21	9	491	285	206
2019	마포구	대흥동	594	445	149	127	97	30	36	20	16	431	328	103
2019	마포구	염리동	436	324	112	112	78	34	21	17	4	303	229	74
2019	마포구	신수동	662	510	152	91	67	24	21	14	7	550	429	121
2019	마포구	서교동	687	478	209	65	54	11	29	18	11	593	406	187
2019	마포구	합정동	648	573	75	96	62	34	37	24	13	515	487	28
2019	마포구	망원1동	839	589	250	168	111	57	46	23	23	625	455	170
2019	마포구	망원2동	621	456	165	72	47	25	36	20	16	513	389	124
2019	마포구	연남동	611	416	195	68	46	22	31	14	17	512	356	156
2019	마포구	성산1동	637	463	174	120	36	84	31	18	13	486	409	77
2019	마포구	성산2동	1,513	1,121	392	438	369	69	167	131	36	908	621	287
2019	마포구	상암동	541	402	139	128	78	50	60	30	30	353	294	59
2019	마포구	도화동	730	497	233	175	112	63	37	6	31	518	379	139
2019	마포구	서강동	670	463	207	68	42	26	21	16	5	581	405	176
2019	마포구	공덕동	1,574	1,073	501	297	216	81	62	37	25	1,215	820	395
2019	마포구	아현동	654	464	190	123	79	44	23	13	10	508	372	136
2019	양천구	소계	13,614	10,093	3,521	3,288	2,203	1,085	995	575	420	9,331	7,315	2,016
2019	양천구	목1동	439	332	107	61	38	23	23	18	5	355	276	79
2019	양천구	목2동	829	638	191	191	131	60	58	28	30	580	479	101
2019	양천구	목3동	711	516	195	154	91	63	38	18	20	519	407	112
2019	양천구	목4동	696	512	184	245	156	89	54	27	27	397	329	68
2019	양천구	신월1동	472	265	207	4	2	2	1	56	1	467	263	204
2019	양천구	신월2동	1,168	922	246	396	285	111	98	56	42	674	581	93
2019	양천구	신월3동	742	575	167	167	108	59	63	31	32	512	436	76
2019	양천구	신월4동	985	769	216	230	169	61	88	49	39	667	551	116
2019	양천구	신월5동	523	401	122	128	84	44	67	37	30	328	280	48
2019	양천구	신월6동	515	408	107	98	80	18	169	127	42	248	201	47
2019	양천구	신월7동	255	66	189	38	22	16	3	2	1	214	42	172
2019	양천구	신정1동	1,102	809	293	238	151	87	100	58	42	764	600	164
2019	양천구	신정2동	435	303	132	63	45	18	36	24	12	336	234	102
2019	양천구	신정3동	540	390	150	196	120	76	20	9	11	324	261	63
2019	양천구	신정6동	1,338	1,043	295	333	232	101	77	46	31	928	765	163
